eruptions,waiting,predicted_waiting
3.6,79,71.94826203472823
1.8,54,52.45048787586247
3.333,74,69.05609220116314
2.283,62,57.682390608491446
4.533,85,82.05460830707365
2.883,55,64.1816486614467
4.7,88,83.86356846514619
3.6,85,71.94826203472823
1.95,51,54.07530238910128
4.35,85,80.07233460092229
1.833,54,52.80794706877501
3.917,84,75.38203670603959
4.2,78,78.44752008768349
1.75,47,51.9088830381162
4.7,83,83.86356846514619
2.167,52,56.4258673849201
1.75,62,51.9088830381162
4.8,84,84.94677814063873
1.6,52,50.28406852487739
4.25,79,78.98912492542975
1.8,51,52.45048787586247
1.75,47,51.9088830381162
3.45,78,70.32344752148941
3.067,69,66.17475446435299
4.533,74,82.05460830707365
3.6,83,71.94826203472823
1.967,55,54.259448033935016
4.083,76,77.18016476735721
3.85,78,74.65628622345959
4.433,79,80.9713986315811
4.3,73,79.53072976317603
4.467,77,81.33968992124856
3.367,66,69.4243834908306
4.033,80,76.63855992961093
3.833,74,74.47214057862585
2.017,52,54.801052871681286
1.867,48,53.176238358442475
4.833,80,85.30423733355127
1.833,59,52.80794706877501
4.783,90,84.76263249580501
4.35,80,80.07233460092229
1.883,58,53.349551906521285
4.567,84,82.4228995967411
1.75,58,51.9088830381162
4.533,73,82.05460830707365
3.317,83,68.88277865308433
3.833,64,74.47214057862585
2.1,53,55.7001169023401
4.633,82,83.13781798256619
2.0,59,54.61690722684756
4.8,75,84.94677814063873
4.716,90,84.036882013225
1.833,54,52.80794706877501
4.833,80,85.30423733355127
1.733,54,51.72473739328247
4.883,83,85.84584217129755
3.717,71,73.2156173550545
1.667,64,51.009819007457395
4.567,77,82.4228995967411
4.317,81,79.71487540800976
2.233,59,57.14078577074518
4.5,84,81.6971491141611
1.75,48,51.9088830381162
4.8,82,84.94677814063873
1.817,60,52.634633520696205
4.4,92,80.61393943866857
4.167,78,78.09006089477094
4.7,78,83.86356846514619
2.067,65,55.34265770942756
4.7,73,83.86356846514619
4.033,82,76.63855992961093
1.967,56,54.259448033935016
4.5,79,81.6971491141611
4.0,71,76.28110073669839
1.983,62,54.432761582013825
5.067,76,87.83894797420382
2.017,60,54.801052871681286
4.567,78,82.4228995967411
3.883,76,75.01374541637212
3.6,83,71.94826203472823
4.133,75,77.72176960510347
4.333,82,79.88818895608856
4.1,70,77.36431041219093
2.633,65,61.47362447271534
4.067,73,77.0068512192784
4.933,88,86.38744700904381
3.95,76,75.73949589895213
4.517,80,81.88129475899484
2.167,48,56.4258673849201
4.0,86,76.28110073669839
2.2,60,56.78332657783264
4.333,90,79.88818895608856
1.867,50,53.176238358442475
4.817,78,85.13092378547246
1.833,63,52.80794706877501
4.3,72,79.53072976317603
4.667,84,83.50610927223364
3.75,75,73.57307654796705
1.867,51,53.176238358442475
4.9,82,86.02998781613128
2.483,62,59.84880995947654
4.367,88,80.25648024575602
2.1,49,55.7001169023401
4.5,83,81.6971491141611
4.05,81,76.82270557444467
1.867,47,53.176238358442475
4.7,84,83.86356846514619
1.783,52,52.26634223102874
4.85,86,85.488382978385
3.683,81,72.84732606538704
4.733,75,84.22102765805872
2.3,59,57.86653625332518
4.9,89,86.02998781613128
4.417,79,80.7980850835023
1.7,59,51.36727820036993
4.633,81,83.13781798256619
2.317,50,58.05068189815891
4.6,85,82.78035878965365
1.817,59,52.634633520696205
4.417,87,80.7980850835023
2.617,53,61.30031092463654
4.067,69,77.0068512192784
4.25,77,78.98912492542975
1.967,56,54.259448033935016
4.6,88,82.78035878965365
3.767,81,73.75722219280077
1.917,45,53.717843196188745
4.5,82,81.6971491141611
2.267,55,57.50907706041264
4.65,90,83.32196362739992
1.867,45,53.176238358442475
4.167,83,78.09006089477094
2.8,56,63.282584630787895
4.333,89,79.88818895608856
1.833,46,52.80794706877501
